Agency,Cntyfip,Circumstance,MSA,Number of Records,Solved,Source,State,Vic Age,Vic Race,Vic Sex,Weapon,Year
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",2006
Baltimore,"Baltimore city, MD",Other - not specified,"Baltimore-Towson, MD",1,No,FBI,Maryland,33,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",2001
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2001
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",2004
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",2004
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2005
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",2005
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,14,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,31,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,35,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2001
